seller_id,orders,gmv_booked,aov_booked,delivered_orders,late_rate,avg_days_vs_estimate,avg_days_late_when_late,avg_review_score
2cb6eb1b7185064167657fa09f541105,6,1382.68,230.45,6,0.0000,-10.94,,4.50
2cb98e27ce1c18abdb42209b34c382a7,1,119.70,119.70,1,0.0000,-15.33,,4.00
2d20f1cd18725c91147da0791d498022,1,119.69,119.69,1,0.0000,-7.46,,5.00
2d22fc3089eb907b29ebff50581fb472,3,377.39,125.80,3,0.0000,-9.99,,3.67
2d2322d842118867781fc737e96d59a1,8,281.37,35.17,8,0.1250,-5.94,14.57,4.88
2d2c62bef4c8ba0dd74e0e228e808539,16,4230.48,264.41,16,0.1250,-8.58,6.12,4.13
2d34636518ba88f5349b732fcf8ba2e4,1,168.63,168.63,1,0.0000,-27.32,,5.00
2d378dbb39815785238c0139c7647fb7,2,1454.44,727.22,2,0.0000,-17.25,,5.00
2d42ebcda99fd55f6f4bc2f1ca035d50,10,1203.97,120.40,10,0.0000,-13.11,,4.30
2d50d6282f8aa2257819a77bfaa0efe0,44,4848.57,110.19,42,0.1429,-9.81,6.76,3.70
2d518637f53161b973e01f56ea4bb88e,13,1539.70,118.44,13,0.0000,-20.83,,4.92
2d8cfba3fcd3170555941605edaa196a,1,55.96,55.96,1,0.0000,-13.56,,5.00
2d9e8987a2ea5cf88dce330249043ff1,2,344.17,172.09,2,0.0000,-4.77,,4.50
2dcf93836ae3ce0d7c93e2f10876467a,9,1675.83,186.20,9,0.2222,-7.86,3.17,4.11
2dd1fb6f0e42a2243b8a01e40cd41216,4,942.73,235.68,3,0.0000,-15.25,,3.00
2dee2ce60de9709b1a24083217181a1f,54,9844.56,182.31,54,0.0185,-16.78,4.88,4.43
2e0dba2da448400b1c11d7b4b22f32a4,7,407.70,58.24,7,0.0000,-15.46,,3.14
2e13c71026e1a39ba5cc1b86dcb679aa,24,4691.02,195.46,24,0.0833,-12.40,3.88,4.38
2e1a7d075abe038c1b2743005fe42ff1,19,1862.27,98.01,18,0.1667,-6.70,2.94,4.05
2e1c9f22be269ef4643f826c9e650a52,167,15297.50,91.60,161,0.0683,-9.70,8.64,4.16
2e2f44824ab87a0cb961f68bf4073e7f,1,65.93,65.93,1,0.0000,-9.16,,2.00
2e3be8a987a30d7544dbbda6861cc14e,18,4777.55,265.42,14,0.0714,-10.53,54.77,3.17
2e7ea2aafec5835e781b21d6d1faf1f1,7,646.62,92.37,7,0.1429,-4.55,1.80,4.50
2e90cb1677d35cfe24eef47d441b7c87,127,16916.97,133.20,127,0.1339,-9.69,5.35,4.12
2ea0861cc19e94cad86438c984c52da4,6,242.04,40.34,6,0.0000,-7.19,,3.33
2eb70248d66e0e3ef83659f71b244378,202,46002.90,227.74,187,0.1390,-9.34,7.33,2.69
2ec6e37d992a95eaddb3369dcbcc76d9,2,388.24,194.12,2,0.0000,-18.23,,1.50
2ee0a0689f2f6a72f35a7cb6033f6e7e,4,324.84,81.21,4,0.0000,-11.23,,4.00
2eeb6531ee027a48d401e72bebdd87d3,3,78.70,26.23,3,0.0000,-26.66,,4.33
2ef086a599b597572aca4433b7ed6b3d,1,64.10,64.10,1,0.0000,-14.45,,5.00
2f09f7d37a97956d11cc1a7cadd5262b,11,2675.76,243.25,7,0.1429,-9.69,2.59,2.91
2f1e7b90e01d9f086cbcb301c0c3d406,1,71.66,71.66,1,0.0000,-9.93,,5.00
2f3d8b4c9e2ee165075331fea3f3095a,1,147.35,147.35,1,0.0000,-14.21,,5.00
2f4b0d3b9634b647d4edee577d7ebb7e,10,422.31,42.23,10,0.0000,-7.73,,4.90
2f4b9d112bfa44a214bc6cef085d17c8,5,413.26,82.65,5,0.0000,-24.65,,4.40
2f73e04d12cdf0c945ded66bb3fcf6c7,3,1460.85,486.95,3,0.0000,-17.31,,3.33
2f74af7a0ee5636f12c2336f9fffed47,13,724.47,55.73,13,0.0000,-8.05,,4.31
2f9b7ce230a057a98a9f5df5893ee36c,2,171.85,85.93,2,0.0000,-5.98,,4.50
2fa13c8bd5705d279f7ed5cc9ec61c68,2,148.70,74.35,2,0.0000,-8.33,,5.00
2fb25ab44bdbeae6a4d816e0d0c9d500,5,761.29,152.26,5,0.0000,-18.23,,4.80
2fdde51ad3e12f297da656d4fbd5d0b5,10,6874.14,687.41,9,0.0000,-17.33,,4.70
2ff6b7bff164ef05590a52734e1296da,7,1955.12,279.30,7,0.0000,-14.39,,4.71
2ff97219cb8622eaf3cd89b7d9c09824,89,5975.98,67.15,87,0.0575,-8.84,9.67,4.53
3076499bbc033a927bf4a8a41bcf7fd4,7,995.32,142.19,7,0.0000,-9.68,,4.29
3078096983cf766a32a06257648502d1,59,9700.90,164.42,56,0.0536,-11.78,4.25,4.20
30829ded4523ab9224b93bc49a62c95f,18,7549.71,419.43,18,0.0556,-17.02,7.03,3.78
3092c0b297aacfb4bb6e056ebe13b9b8,19,2190.11,115.27,16,0.0000,-27.53,,3.63
30a2f535bb48308f991d0b9ad4a8c4bb,71,6452.46,90.88,71,0.0282,-12.47,7.07,4.28
30a81d8cf85fb2ada1b1b094c9583a95,17,1413.52,83.15,17,0.0000,-7.61,,4.82
30c7f28fd3a5897b2c82d152bb760c17,7,2503.16,357.59,6,0.5000,-1.81,2.92,1.67
312ba1d77e9c332ef21f9598b7f64cd7,9,888.05,98.67,7,0.5714,5.44,15.89,2.78
31344c16881c08a8a72c6d2eb29918c1,43,12166.05,282.93,42,0.0476,-9.64,22.77,4.35
31561f325664a8a7aba4c8d0c3a9b3db,36,3405.92,94.61,36,0.0278,-8.80,0.70,4.64
318f287a62ab7ac10b703ac37435a231,52,3634.60,69.90,51,0.0980,-9.19,5.33,3.87
31ae0774c17fabd06ff707cc5bde005f,11,7570.67,688.24,11,0.0909,-11.70,9.80,4.00
31be790e64fc99f8ff48ec2bd18a3104,6,313.68,52.28,6,0.3333,-2.17,1.38,4.33
31da954dc0855f2495c6310f70a2f931,29,5736.77,197.82,29,0.1034,-9.88,5.14,4.21
31e60bf8d103ce47932a85f5562deb16,1,239.04,239.04,1,0.0000,-19.87,,5.00
31eec405c9bb71dec8e2629a92e764fa,5,427.13,85.43,5,0.0000,-13.68,,4.60
323ce52b5b81df2cd804b017b7f09aa7,30,2955.67,98.52,29,0.1724,-4.94,11.68,4.31
324583d68897f5ddbaf38f6248322176,2,171.23,85.62,2,0.5000,-0.16,11.98,1.00
325f3178fb58e2a9778334621eecdbf9,36,1810.08,50.28,36,0.0000,-11.14,,4.44
327b89b872c14d1c0be7235ef4871685,3,1258.80,419.60,3,0.6667,9.35,19.20,2.33
3289d8c3eef4873f91ce0b1343c0dd58,1,219.27,219.27,1,0.0000,-19.39,,5.00
328acb143b4a73aad6bee8e734f5d20d,2,734.75,367.38,2,0.0000,-16.34,,4.00
3296662b1331dea51e744505065ae889,1,545.51,545.51,1,0.0000,-10.07,,5.00
32b8764b4ef628b53608fc34011fcc13,36,12000.16,333.34,36,0.0833,-13.92,0.95,4.19
32e5635e63cb374eb63afdd242fb6134,1,927.82,927.82,1,0.0000,-4.80,,5.00
32f1bb9dfa65bc7df5c0d9d95a616be4,5,332.17,66.43,4,0.2500,-6.07,1.93,4.00
32f83ffe11cd40f7adcf4eef171f52d9,1,45.09,45.09,1,0.0000,-14.87,,5.00
32fdd5d44ecb43dfd6a24b9369eca144,8,617.88,77.24,8,0.0000,-16.20,,4.38
3338e7a0710a195872be80e0d2423867,1,65.43,65.43,0,,,,1.00
333c4210e76a1aa2ab817b99437e3ff1,2,402.43,201.22,2,0.0000,-22.71,,5.00
3340ef1913fb70d28420f6ceb685c339,32,7547.16,235.85,32,0.0938,-9.05,44.70,4.38
334cab711dee080b079fa5779b584783,11,1681.14,152.83,11,0.0000,-12.69,,4.91
33576ec5412fb5905d876f12f33bfde6,31,3287.98,106.06,31,0.0323,-16.37,5.98,4.10
3361277dc30b7cccdb0c286b24219756,29,4540.90,156.58,29,0.0690,-15.28,3.58,4.34
3364a91ec4d56c98e44174de954b94f6,6,3932.14,655.36,6,0.0000,-25.50,,3.83
33a17d60c64393351ebf1ef860f4e0f2,43,9528.64,221.60,43,0.0233,-14.88,18.97,4.63
33a6f4b1e7cdc205511e76ba1b6e0186,105,12750.60,121.43,105,0.0190,-12.36,11.17,4.41
